source_file,course_url,course_slug,reviewer_name,review_text,rating_value,rating_scale,review_time_relative
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Syed S.,this course is really great. really great explanation and even noobs can understand. absolutely the best ai course i have done ever. many many thanks to arnie.,5.0,5.0,1 week ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Tsvetan K.,"Really helpful for anyone with basic technical and AI skills. It was definitely a step up for me, and I learned everything I signed up for as well as much more.",5.0,5.0,1 week ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Vinoth S.,"I was immersed in this course for last 5-6 weeks, and produced few automations on my own besides what were instructed in the course.",4.5,5.0,2 weeks ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,RAJASEKHAR R.,"The course is excellent for any one irrespective of whether you are just starting in AI or you are already an expert in AI. It provides new insights for everyone. Arnold is a great teacher. He went through every piece that is important to build AI agents, opportunities and threats . I thoroughly loved the course",5.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Junaid W.,"This man deserves a thumbs up for this course.👍 The instructor really tried his hardest to make things as much easier/clearer as he could for the learners. Adding section overviews and recaps before and after every section is commendable and gives learners a holistic picture of what they will learn & have learned. One tip for newbies/non techie people like me: Keep a ChatGPT tab open (or any preferred LLM of your choice) along with the course and ask the LLM about the difficult unfamiliar jargons. This way you will learn much faster. If you give that LLM a clear tutor role, then it would be even better.",5.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Raymundo Valdez G.,"I like the topics that were explained but wish there was a in-depth look at backbones technologies: the vector databases, Google Cloud, etc.",4.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Mauro B.,"Corso molto interessante, copre in maniera chiara gli aspetti legati all'automazione con AI compresa la sicurezza e gli aspetti ""commerciali"". Consigliato.",5.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Laura P.,"The course content is quite good but, I have a few comments :",3.5,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Dr Prince D.,Thanks so much! You’re really making a huge difference in the AI Automation world. I’m super grateful to have taken your three amazing courses. I’ll definitely be tapping into the community and network you and your team are putting together. Big thanks!,5.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Talgat R.,"Hello, Arnold!",5.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Abhinav,"The Coach might tell you 100 things but might only explain the details which are just enough to make the workflow, to me if I spent 2 hours watching his videos, i had to parallelly spend 2-3 hours asking GPT about the definitions or the root cause why we are using a particular node.",3.5,5.0,3 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Vu P.,"A lot of guides in this course are not working such as ""hosting on Render"", ""Connect with Whatsapp"". None of the questions from learners in those blocker have been answered by the course owner. Very disappointed!",1.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Santiago C.,"if your are beginning in the IA world this is the course. Lots of examples, lots of use cases. You will finish with a really good bases of how to create an useful IA agent.",5.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Omran T.,"The course gives a decent introduction to AI automation, but I found it lacking when it comes to creating nodes that don’t already exist in n8n.",3.0,5.0,1 week ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Glenn M.,Great instructor. Don't waste time with youtube! Sign up now and you'll be very happy you did. Well done Arnie!,5.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Andrew T.,I liked the course. Good information and resources I couldn't get from just watching YouTube videos.,5.0,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Vishwadeep varma K.,"Really an awesome course , even if anyone doesn't have knowledge in the AI space this course is really helpful. Some topics might have been better better overall a really good course!!",4.5,5.0,3 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Li Ling C.,"I always enjoyed Arnie's teaching. He is clear, concise and straight to the point. No fluff, just the things you need to understand and apply the topics. He also has enough examples to get you started and explains the concepts behind what he does and why he does it. I have bought 3 courses from him and I am always amazed by his wealth of knowledge. Highly recommend learning from him!",5.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Orlando P.,O curso é excelente. Cobre exatamente tudo o que eu gostaria de ver!! seria interessante também integrar aplicativos da Microsoft como Outlook e Excel para quem possui preferência por estes.,5.0,5.0,3 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Asyam Yafi M.,"it was good for begineers, but you have to have some basic knowledge about how things mentioned in this video works, not really begineer friendly.",4.5,5.0,1 month ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Syed Mahtab A.,"This course was incredibly insightful and well-structured. The tutor delivered in-depth knowledge about AI automations in a clear and engaging way. I truly appreciated the practical examples and hands-on approach, which helped solidify my understanding. Highly recommended for anyone looking to get started with or deepen their understanding of AI automation!",5.0,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Ankit V.,Looking forward for some exciting and practical aspect of AI automation.,3.5,5.0,2 months ago
udemy_data (13).xlsx,https://www.udemy.com/course/ai-automation-build-llm-apps-ai-agents-with-n8n-apis/?couponCode=MT250929G3,ai-automation-build-llm-apps-ai-agents-with-n8n-apis,Servet B.,Great! Just a recommendation. An another course after that with just ready to use templates would be awesome. Maybe interactive one. E.g stuedents ask for it and you add it to course in time.,5.0,5.0,2 months ago
